[56.0185;50.4489]	line 534608 171
[56.0989;50.411]	line 534611 172
[56.1812;50.398]	line 534610 173
[55.8275;49.945]	line 583190 174
[55.8633;50.1637]	line 534626 175
[55.8899;50.2326]	line 534619 176
[55.8892;50.2334]	line 534618 177
[55.8891;50.2344]	line 534617 178
[55.8889;50.235]	line 534623 179
[55.8894;50.2356]	line 534621 180
[55.8934;50.2355]	line 534620 181
[55.8911;50.2439]	line 534622 182
[55.8923;50.2475]	line 534624 183
[55.8399;50.2498]	line 534615 184
[55.8538;48.901]	line 534414 185
[55.8505;48.8951]	line 534410 186
[55.8741;48.884]	line 583146 187
[55.8639;48.8045]	line 534729 188
[55.8376;48.7126]	line 583136 189
[55.8369;48.7041]	line 583129 190
[55.8277;48.706]	line 583126 191
[55.8273;48.6977]	line 583124 192
[55.8286;48.692]	line 583139 193
[55.8452;48.6833]	line 583137 194
[55.8699;48.6278]	line 534728 195
[55.8095;48.9091]	line 534422 196
[55.8099;48.9009]	line 534421 197
[55.8195;48.8862]	line 534419 198
[55.8194;48.887]	line 534418 199
[55.8178;48.8964]	line 534423 200
[55.8185;48.8989]	line 534420 201
[55.8188;48.9078]	line 534424 202
[55.8459;48.9056]	line 534406 203
[55.8473;48.9067]	line 534408 204
[55.8472;48.9025]	line 534411 205
[55.8472;48.9025]	line 534417 206
[55.8659;48.8829]	line 534404 207
[55.8649;48.9297]	line 583195 208
[55.877;48.8999]	line 583185 209
[55.8743;48.8984]	line 583196 210
[55.8756;48.8869]	line 583133 211
[55.8729;48.8823]	line 583112 212
[55.8675;48.8777]	line 534416 213
[55.8636;48.8732]	line 534412 214
[55.8643;48.8759]	line 534405 215
[55.8662;48.8843]	line 534415 216
[55.8571;48.9053]	line 534413 217
[55.8553;48.8979]	line 534407 218
[55.8496;48.9011]	line 534409 219
[55.8297;49.0622]	line 534350 220
[55.8192;49.0533]	line 534300 221
[55.8205;49.0506]	line 534301 222
[55.8208;49.05]	line 534298 223
[55.8238;49.0428]	line 534299 224
[55.8238;49.0423]	line 534257 225
[55.8228;49.0312]	line 534254 226
[55.8251;49.0315]	line 534255 227
[55.8251;49.0315]	line 534256 228
[55.8257;49.038]	line 534253 229
[55.8409;49.0209]	line 534262 230
[55.8499;49.0672]	line 534319 231
[55.8438;49.0498]	line 534263 232
[55.8455;49.0502]	line 534265 233
[55.8458;49.0512]	line 534264 234
[55.8505;49.053]	line 534318 235
[55.8543;49.068]	line 534316 236
[55.8532;49.0728]	line 534314 237
[55.8612;49.0873]	line 534536 238
[55.8705;49.0813]	line 534334 239
[55.8741;49.0881]	line 534328 240
[55.8184;49.0633]	line 534486 241
[55.819;49.0592]	line 534488 242
[55.8199;49.0552]	line 534307 243
[55.8199;49.0552]	line 534306 244
[55.8224;49.052]	line 534304 245
[55.8235;49.0479]	line 534308 246
[55.8273;49.0436]	line 534258 247
[55.8244;49.0527]	line 534305 248
[55.8232;49.0609]	line 534297 249
[55.8264;49.0622]	line 534487 250
[55.8656;49.0864]	line 534332 251
[55.8632;49.0849]	line 534329 252
[55.8649;49.0778]	line 534322 253
[55.8626;49.0779]	line 534541 254
[55.8605;49.0769]	line 534540 255
[55.8595;49.0867]	line 534528 256
[55.8579;49.0858]	line 534535 257
[55.8549;49.0837]	line 534317 258
[55.8545;49.0827]	line 534315 259
[55.8672;49.0915]	line 534320 260
[55.8681;49.0895]	line 534321 261
[55.8711;49.0892]	line 534327 262
[55.8715;49.0811]	line 534335 263
[55.8689;49.0849]	line 534333 264
[55.8656;49.0786]	line 534324 265
[55.8656;49.0786]	line 534323 266
[55.8652;49.071]	line 534325 267
[55.8664;49.0219]	line 534431 268
[55.8697;49.02]	line 534432 269
[55.8738;49.0168]	line 534539 270
[55.8738;49.0168]	line 534445 271
[55.8085;49.0831]	line 534295 272
[55.8084;49.0802]	line 534296 273
[55.8273;49.0563]	line 534302 274
[55.8172;49.0617]	line 534292 275
[55.8149;49.0639]	line 534291 276
[55.8038;49.0672]	line 534289 277
[55.7996;49.0681]	line 534290 278
[55.798;49.0514]	line 534288 279
[55.7997;49.0376]	line 534287 280
[55.7999;49.035]	line 534285 281
[55.7999;49.034]	line 534286 282
[55.8282;49.0937]	line 534345 283
[55.83;49.0914]	line 534426 284
[55.8306;49.0932]	line 534344 285
[55.8328;49.0917]	line 534343 286
[55.8346;49.0907]	line 534342 287
[55.8292;49.0833]	line 534425 288
[55.8256;49.056]	line 534303 289
[55.8288;49.0579]	line 534450 290
[55.8309;49.0629]	line 534451 291
[55.8428;49.0916]	line 534362 292
[55.8709;49.0935]	line 534331 293
[55.8398;49.1041]	line 534447 294
[55.8392;49.1016]	line 534449 295
[55.8402;49.1002]	line 534446 296
[55.8394;49.1]	line 534363 297
[55.8368;49.1019]	line 534448 298
[55.834;49.1005]	line 534346 299
[55.8361;49.096]	line 534339 300
[55.8345;49.0918]	line 534341 301
[55.8358;49.091]	line 534340 302
[55.8381;49.0915]	line 534364 303
[55.8387;49.0885]	line 534365 304
[55.732;49.1478]	line 534359 305
[55.7438;49.1333]	line 534357 306
[55.7531;49.104]	line 534259 307
[55.7395;49.0972]	line 534260 308
[55.7138;49.1013]	line 534261 309
[55.6937;49.141]	line 534361 310
[55.5349;49.1889]	line 583083 311
[55.535;49.1905]	line 583081 312
[55.8375;49.1216]	line 534560 313
[55.8601;49.1018]	line 534532 314
[55.8603;49.1007]	line 534533 315
[55.8612;49.09]	line 534538 316
[55.8616;49.0914]	line 534537 317
[55.8636;49.0993]	line 534530 318
[55.8652;49.098]	line 534531 319
[55.8647;49.1002]	line 534529 320
[55.8618;49.1086]	line 534534 321
[55.7864;49.1243]	line 534494 322
[55.7881;49.1224]	line 534368 323
[55.7864;49.1085]	line 534508 324
[55.7877;49.1016]	line 534274 325
[55.789;49.1022]	line 534506 326
[55.7925;49.1015]	line 534509 327
[55.8202;49.1288]	line 534517 328
[55.8199;49.1262]	line 534516 329
[55.8198;49.1247]	line 534515 330
[55.8182;49.1216]	line 534514 331
[55.8199;49.1162]	line 534511 332
[55.8204;49.1221]	line 534521 333
[55.8204;49.1221]	line 534522 334
[55.8229;49.122]	line 534512 335
[55.8233;49.1218]	line 534513 336
