ID	DepotTypeID	Name	UTCOffset	TimeZone	TripID	DepotID	Ind	ArrivalTime	DepartureTime	DistanceFromPrevPoint	WaitingDuration	GeoHash	PlanID	FixedTrack
29111813	2	Склад1	0.125	Europe/Moscow	2248848	685643	0	0.206466	0.206466	0	0		32719	0
29111814	1	16 гимназия, ул.Менделеева, д.146/1	0.125	Europe/Moscow	2248848	689370	1	0.208333	0.215278	2.779809	0	GWv1xz3cqkvpb7v1xz3cq36nehv1xz3cr63w5yv1xz3cr6w43nv1xz612501mev1xz61271tzkv1xz612e5r56v1xz6136crb4v1xz613dmr83v1xz613f5efpv1xz6163n37xv1xz616b43ucv1xz615p84g8v1xz615nvjurv1xz615t353tv1xz615fx9y0v1xz61h1fyt5v1xz60uwfzg9v1xz60vh2tqvv1xz60vh4c18v1xz60v3rek9v1xz60tz84p0v1xz60tyny2dv1xz60wj4mrmv1xz60w6jm61v1xz60w3x6syv1xz60qybz41v1xz60rhbgx6v1xz60r65s4jv1xz60r90b2uv1xz60r8dx14v1xz60r8m3thv1xz623hz8rev1xz623ys4q6v1xz62e44bjuv1xz62eey6p1v1xz62eukw32v1xz62sjdb3vv1xz62sjvvwjv1xz62snpj7gv1xz62vz4xr2v1xz63pnt47vv1xz63prd1r0v1xz63r978yzv1xz692z80dtv1xz699smwysv1xz69dn3mr1v1xz69dnew6jv1xz69dpnummv1xz69dvnwewv1xz696zsu4g	32719	0
29111815	1	Уфа, ул.Степана Кувыкина,д.11, 13916 Пятерочка	0.125	Europe/Moscow	2248848	689536	2	0.217146	0.22409	2.746036	0	GWv1xz696zsu4gv1xz69eeknd7v1xz69dvnwewv1xz69dpnummv1xz69dpm7kyv1xz69dpehp1v1xz699zpv6pv1xz699yve25v1xz699kq0f8v1xz692x2ehev1xz692jmz3yv1xz63r3xzrfv1xz63r3m3jmv1xz63r0n1h3v1xz63ppvmq2v1xz63nyt0n4v1xz63ntq1d8v1xz63n1dkmgv1xz62sne27ev1xz62sn6e9mv1xz62sjfu6dv1xz62sjdb3vv1xz62s5f4mtv1xz62s4b4yxv1xz627ybyxfv1xz627tjdcnv1xz6276pfzjv1xz6273qthjv1xz625jx5vmv1xz624cqg2mv1xz4rfzeq58v1xz4rfsv6quv1xz4rfegug2v1xz4rdhhr4cv1xz4r3yf6e3v1xz4r3e73nfv1xz4r3e555kv1xz4r15ev95v1xz4r15e8cpv1xz4r154ey3v1xz4qbtqc66v1xz4qbe439dv1xz4q8rum3tv1xz4nxbtku8v1xz4nxbhk8fv1xz4nrzdcqsv1xz4nrtxjfkv1xz4nrtq64sv1xz4npjw9y7v1xz4npjjg9dv1xz4jypmsy5	32719	0
29111816	1	Уфа, ул.Ст.Кувыкина, д.18, с/м Шатлык	0.125	Europe/Moscow	2248848	689541	3	0.224629	0.231573	0.905305	0	GWv1xz4jypmsy5v1xz4jytwfqrv1xz4npjjg9dv1xz4npjw9y7v1xz4nrtq64sv1xz4nrtxjfkv1xz4nrzdcqsv1xz4nxbhk8fv1xz4nxbtku8v1xz4q8rum3tv1xz4qbe439dv1xz4qbtqc66v1xz4r154ey3v1xz4r15e8cpv1xz4r15ev95v1xz4r1z3ev4	32719	0
29111817	1	Бакалинская, д.66Б, м-нМонетка	0.125	Europe/Moscow	2248848	689729	4	0.232675	0.23962	1.850939	0	GWv1xz4r1z3ev4v1xz4r15ev95v1xz4r3e555kv1xz4r3e73nfv1xz4r3yf6e3v1xz4rdhhr4cv1xz4rfegug2v1xz4rfsv6quv1xz4rfnw44dv1xz4rfnftkfv1xz62190b7xv1xz6214dcwrv1xz620sn2mnv1xz620mn8h1v1xz620m9g9wv1xz60r8m3thv1xz60r8dx14v1xz60r90b2uv1xz60r65s4jv1xz60rhbgx6v1xz60qybz41v1xz60w3x6syv1xz60w6jm61v1xz60wj4mrmv1xz60tyny2dv1xz60tz84p0v1xz60v3rek9v1xz60vh4c18v1xz60vh2tqvv1xz60uwfzg9v1xz61h1fyt5v1xz615fx9y0v1xz615t353tv1xz615nvjurv1xz615p84g8v1xz616b43ucv1xz6163n37xv1xz613f5efpv1xz613dmr83v1xz6136crb4v1xz612e5r56v1xz61271tzkv1xz612m28w5	32719	0
29111818	1	Рабкоров, 20, м-н Монетка	0.125	Europe/Moscow	2248848	689747	5	0.242137	0.249082	2.81672	0	GWv1xz612m28w5v1xz61271tzkv1xz612e5r56v1xz6136crb4v1xz613dmr83v1xz613f5efpv1xz6163n37xv1xz616b43ucv1xz615p84g8v1xz615nvjurv1xz615t353tv1xz615fx9y0v1xz61h1fyt5v1xz60uwfzg9v1xz60vh2tqvv1xz60vh4c18v1xz60v3rek9v1xz60tz84p0v1xz60tyny2dv1xz60wj4mrmv1xz60w6jm61v1xz60w3x6syv1xz60qybz41v1xz60rhbgx6v1xz60r65s4jv1xz60r90b2uv1xz60r8dx14v1xz60r8m3thv1xz620m9g9wv1xz620mn8h1v1xz620sn2mnv1xz6214dcwrv1xz62190b7xv1xz4rfnftkfv1xz4rfnw44dv1xz4rfsv6quv1xz4rfegug2v1xz4rdhhr4cv1xz4r3yf6e3v1xz4r3e73nfv1xz4r3e555kv1xz4r15ev95v1xz4r15e8cpv1xz4r154ey3v1xz4qbtqc66v1xz4qbe439dv1xz4q8rum3tv1xz4nxbtku8v1xz4nxbhk8fv1xz4nrzdcqsv1xz4q2p4pd2v1xz4q6h7sm1v1xz4q751ursv1xz4q74zmdtv1xz4q7d934fv1xz4q5vmmc1	32719	0
29111819	1	магазин-пекарня № 1, Рабкоров, 12	0.125	Europe/Moscow	2248848	689948	6	0.250464	0.257408	0.689771	0	GWv1xz4q5vmmc1v1xz4mfzhh8hv1xz4q7d934fv1xz4q74zmdtv1xz4q751ursv1xz4q6h7sm1v1xz4q2p4pd2v1xz4nrzdcqsv1xz4nrtxjfkv1xz4nrvky69v1xz4nrvmjgyv1xz4q276qer	32719	0
29111820	1	85, Ст. Кувыкина, 6/2, м-н ПОЛУШКА	0.125	Europe/Moscow	2248848	689434	7	0.257781	0.264725	0.4073	0	GWv1xz4q276qerv1xz4q2smt9pv1xz4nrvmjgyv1xz4nrvky69v1xz4nrtxjfkv1xz4nrtq64sv1xz4npjw9y7v1xz4npjjg9dv1xz4jznh6pj	32719	0
29111821	1	293 - ул.Г.Горбатова,д.7/2, ДС №293	0.125	Europe/Moscow	2248848	689992	8	0.267445	0.27439	3.15003	0	GWv1xz4jznh6pjv1xz4jytwfqrv1xz4npjjg9dv1xz4npjw9y7v1xz4nrtq64sv1xz4nrtxjfkv1xz4nrzdcqsv1xz4nxbhk8fv1xz4nxbtku8v1xz4q8rum3tv1xz4qbe439dv1xz4qbtqc66v1xz4r154ey3v1xz4r15e8cpv1xz4r15ev95v1xz4r3e555kv1xz4r3e73nfv1xz4r3yf6e3v1xz4rdhhr4cv1xz4rfegug2v1xz4rfsv6quv1xz4rfzeq58v1xz624cqg2mv1xz625jx5vmv1xz6273qthjv1xz6276pfzjv1xz627tjdcnv1xz627ybyxfv1xz62s4b4yxv1xz62s5f4mtv1xz62sjvvwjv1xz62snpj7gv1xz62vz4xr2v1xz63pnt47vv1xz63prd1r0v1xz63r978yzv1xz692z80dtv1xz699smwysv1xz69dn3mr1v1xz69dnew6jv1xz69dpnummv1xz69dvnwewv1xz69eeknd7v1xz69eftv1vv1xz69s8wkxuv1xz69kxz5r6v1xz69kbvdzkv1xz69k22919v1xz695sd7uxv1xz68grwnq2	32719	0
29111822	1	24 - ул.Авроры, д.29/1, ДС №24	0.125	Europe/Moscow	2248848	689999	9	0.279234	0.286179	2.951311	0	GWv1xz68grwnq2v1xz695kp4e5v1xz695sd7uxv1xz69k22919v1xz69kbvdzkv1xz69kxz5r6v1xz69s8wkxuv1xz69eftv1vv1xz69eeknd7v1xz69dvnwewv1xz69dpnummv1xz69dpm7kyv1xz69dpehp1v1xz699zpv6pv1xz699yve25v1xz699kq0f8v1xz692x2ehev1xz692jmz3yv1xz63r3xzrfv1xz63r3m3jmv1xz63r0n1h3v1xz63ppvmq2v1xz63nyt0n4v1xz63ntq1d8v1xz63n1dkmgv1xz62sne27ev1xz62sn6e9mv1xz62sjfu6dv1xz62sjdb3vv1xz62s5f4mtv1xz62s5q3gfv1xz62mqcwbfv1xz62mqscdzv1xz62qbfmmzv1xz62pw0ps0v1xz4xbhpdttv1xz4xb5zvnkv1xz4xb3h6x2v1xz4x8exr6zv1xz4x8epyggv1xz4x2ykwrxv1xz4x2ykbv7v1xz4x2gbvsxv1xz4x0muxv3v1xz4qzvth4mv1xz4qz87fsuv1xz4qz2su3dv1xz4qycm37hv1xz4qyqn6ps	32719	0
