ID	AccountID	ProjectID	PlanID	LatLon	DepotTypeID	DepotType	Name	DepotCode	AddressDescription	Delay	CrossDockingProxy	IsDeleted	AllowKeepTrailer	UTCOffset	TimeZone	LoadStart	LoadEnd	UnloadStart	UnloadEnd	LunchStart	LunchEnd	Latitude	Longitude
631479	360	3488	34814	uc4uj13t6cmg	1	1	АЛЬФА-М ООО	П0013606_121	,309506, Белгородская обл, , Старый Оскол г, , Первой Конной Армии ул, 40, , , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.33589997	37.8390999
631480	360	3488	34814	uc31sxj3ukfb	1	1	АЛЬФА ВЛАДИМИР ООО	П0005549_51	,307170, Курская обл, , Железногорск г, , Курская ул, 13/1, , 1, дом, корпус, оф.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.3337	35.36139993
631489	360	3488	34814	ubfpbe8rwtgv	1	1	АЛЬФА-М ООО	П0013606_4	,308009, Белгородская обл, , Белгород г, , Народный б-р, 92, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.60159999	36.58510013
631491	360	3488	34814	ubfpf0qskrbm	1	1	АЛЬФА-М ООО	П0013606_20	,308000, Белгородская обл, , Белгород г, , Макаренко ул, 1, Б, , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.58320004	36.65949991
631494	360	3488	34814	uc31stqb7pr1	1	1	АЛЬФА РЯЗАНЬ ООО	П0005550_16	,307170, Курская обл, Железногорский р-н, Железногорск г, , Ленина ул, 60 пом 3.4.54, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.32384305	35.36341192
631497	360	3488	34814	uc4002rrjuxv	1	1	АЛЬФА-М ООО	П0013606_38	,308023, Белгородская обл, , Белгород г, , Садовая ул, 53, Б, , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.62759998	36.58370001
631498	360	3488	34814	ubfpbxsh2g1m	1	1	АЛЬФА-М ООО	П0013606_15	,308007, Белгородская обл, , Белгород г, , Студенческая ул, 6, В, , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.62299999	36.58999985
631501	360	3488	34814	uc31u2qgkbq9	1	1	АЛЬФА ВЛАДИМИР ООО	П0005549_55	,307176, Курская обл, , Железногорск г, , Гайдара ул, 5/2, , , дом, корпус, оф.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			52.34079997	35.35250003
631503	360	3488	34814	uc4gu8sq280m	1	1	АЛЬФА-М ООО	П0013606_122	,309518, Белгородская обл, , Старый Оскол г, , Приборостроитель мкр, 27, А, , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.28800008	37.82079985
631507	360	3488	34814	ubfpbfhy4trv	1	1	АЛЬФА-М ООО	П0013606_16	,308019, Белгородская обл, , Белгород г, , Гражданская ул, 7, , , дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.59310007	36.60209997
631516	360	3488	34814	uc4gvsh54y1d	1	1	АЛЬФА-М ООО	П0013606_127	,309501, Белгородская обл, , Старый Оскол г, , Прядченко ул, 113, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.30669993	37.86450008
646301	360	3488	34814	uc4etzgekq8k	1	1	Корпорация ГРИНН АО	00000975_19	,309181, Белгородская обл, , Губкин г, , Севастопольская ул, 2 а, , , дом, корпус, кв.	0.083333333333333	0	0	0	0.125	Europe/Moscow	0	0	0.375	0.875	0	0	51.28339992	37.52329996
646312	360	3488	34814	ubfpbs12w33n	1	1	АЛЬФА-М ООО	П0013606_166	,308009, Белгородская обл, , Белгород г, , 50-летия Белгородской области ул, 19, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.60312097	36.586459
646319	360	3488	34814	uc1jxmg5m3ks	1	1	АЛЬФА РЯЗАНЬ ООО	П0005550_2	,307240, Курская обл, Курчатовский р-н, , К.Либкнехта п, Ленина ул, 33, а, , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.62394793	35.4792049
646334	360	3488	34814	uc4gug8b8cxd	1	1	АЛЬФА-М ООО	П0013606_113	,309514, Белгородская обл, , Старый Оскол г, , Ленина ул, 94, , 2, дом, корпус, помещение	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.30350006	37.82700012
646341	360	3488	34814	uc1mu5xhng91	1	1	АЛЬФА РЯЗАНЬ ООО	П0005550_14	,307250, Курская обл, , Курчатов г, , Садовая ул, 22, А, , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.65567393	35.69349797
646345	360	3488	34814	uc1byhuxfxdt	1	1	АЛЬФА-М ООО	П0013606_83	,309070, Белгородская обл, Яковлевский р-н, Строитель г, , Октябрьская ул, 14, , , дом, корпус, оф.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			50.7843	36.48089999
646501	360	3488	34814	uc38s9nxeg7t	1	1	Иванова О. В.	П0005650_2	,307126, Курская обл, Фатежский р-н, , Большое Анненково д, , , ,	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.75			52.12593961	36.06622109
646541	360	3488	34814	uc33p36yd83w	1	1	Кононыхина Н. В.	00000099_2	,307120, Курская обл, Фатежский р-н, , Верхний Любаж с, Комсомольская ул, 24 А, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.75			52.21501593	35.83030203
646598	360	3488	34814	uc38241dwwn0	1	1	Харичкова Г. М.	00000104_13	,307100, Курская обл, Фатежский р-н, Фатеж г, , Урицкого ул, 49, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.70833333333333			52.08664306	35.8617221
646608	360	3488	34814	uc32rgnw09s1	1	1	Харичкова Г. М.	00000104_2	,307100, Курская обл, Фатежский р-н, Фатеж г, , К.Маркса ул, 6, А, , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.83333333333333			52.09271307	35.85734205
646609	360	3488	34814	uc33p92fw3bk	1	1	АГРОТОРГ ООО	П0003795_154	,307120, Курская обл, Фатежский р-н, , Верхний Любаж с, Комсомольская ул, 21, , , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			52.214337	35.83870104
646616	360	3488	34814	uc1k016p2u29	1	1	БОЛЬШЕСОЛДАТСКОЕ  ПО	П0000195_3	,307850, Курская обл, Большесолдатский р-н, , Большое Солдатское с, Советская ул, 34, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.66666666666667			51.33625905	35.51059211
646665	360	3488	34814	uc32rgq0geku	1	1	Харичкова Г. М.	00000104_9	,307100, Курская обл, Фатежский р-н, Фатеж г, , К.Маркса ул, 74, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.70833333333333			52.09319503	35.85678516
646671	360	3488	34814	uc32rgm5ns9k	1	1	Елагина В.И.	П0001787_1	,307100, Курская обл, Фатежский р-н, Фатеж г, , Загородняя ул, 24, А, , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.375	0.70833333333333			52.09358797	35.85553592
646675	360	3488	34814	uc1m50nnkjrs	1	1	Перегуда М.Н.	П0011848_1	,307864, Курская обл, Большесолдатский р-н, , Любимовка с, Ленина ул, , ,	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.83333333333333			51.50500805	35.64807007
646735	360	3488	34814	uc31srz73z7x	1	1	Пахомова Е. А.	П0005970_3	,307170, Курская обл, , Железногорск г, , Гагарина ул, 31, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.41666666666667	0.75			52.33809195	35.3530539
646743	360	3488	34814	uc38240res2q	1	1	Харичкова Г. М.	00000104_1	,307100, Курская обл, Фатежский р-н, Фатеж г, , К.Маркса ул, 38, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.5	0.54166666666667			52.08749299	35.85986903
646744	360	3488	34814	uc1hpcer3c14	1	1	Рыбочкин Д. М.	П0006757_2	,307850, Курская обл, Большесолдатский р-н, , Большое Солдатское с, Мира ул, 1/2 а, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.75			51.33761507	35.50136598
646755	360	3488	34814	uc382cfew0fk	1	1	Полетаев И. Г.	П0004070_1	,307107, Курская обл, Фатежский р-н, , Миленино с, , , ,	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.75			52.08541394	35.89602789
646757	360	3488	34814	uc3867vux49d	1	1	Иванова О. В.	П0005650_1	,307127, Курская обл, Фатежский р-н, , Глебовщина д, , , ,	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.70833333333333			52.09658098	35.96645096
646762	360	3488	34814	uc1k016p2u29	1	1	Пилюгин В. В.	П0004027_2	,307850, Курская обл, Большесолдатский р-н, , Большое Солдатское с, Советская ул, 39, Б, , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.70833333333333			51.33625905	35.51059211
646815	360	3488	34814	uc30xpfh7q22	1	1	Заря ЗАО	П0007261_1	,307153, Курская обл, Железногорский р-н, , Рышково с, , , ,	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.29166666666667	0.875			52.16247582	35.46675375
647146	360	3488	34814	uc1nknwnw9p6	1	1	Титяев А. В.	П0006668_3	,307732, Курская обл, Льговский р-н, , Иванчиково с, , 180, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.70833333333333			51.76045996	35.34055984
647178	360	3488	34814	uc31sy216t4d	1	1	Александрия-46 ООО (Железногорск)	П0001501_25	,307173, Курская обл, , Железногорск г, , Рокоссовского ул, 7, 5, , дом, корпус, помещение	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.91666666666667			52.32949597	35.36510104
647213	360	3488	34814	uc1muvsd48ks	1	1	Пушкарев К. В.	П0003698_2	,307236, Курская обл, Курчатовский р-н, , Дичня с, Леоновка ул, 85, А, , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.5			51.66630001	35.72284603
647298	360	3488	34814	uc32rer7hug6	1	1	Полетаев И. Г.	П0004070_2	,307100, Курская обл, Фатежский р-н, Фатеж г, , Загородняя ул, 38, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.75			52.09358898	35.84756708
647332	360	3488	34814	ubfpg4w2jb9s	1	1	Бабаева Н. С. (РК)	П0006662_1	,308029, Белгородская обл, , Белгород г, , Николая Прошунина ул, 1, , , дом, корпус, кв.	0.0069444444444444	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.91666666666667			50.59479103	36.70316795
647402	360	3488	34814	uc1mu5ruyn2w	1	1	Краснобаева Э.В.	П0012532_3	,307250, Курская обл, , Курчатов г, , Садовая ул, 37, , , дом, корпус, кв.	0.0048611111111111	0	0	0	0.125	Europe/Moscow			0.375	0.875			51.65444498	35.69449509
647523	360	3488	34814	uc1jxmuq6mw2	1	1	АГРОТОРГ ООО	П0003795_114	,307240, Курская обл, Курчатовский р-н, , К.Либкнехта п, Ленина ул, 33, А, , дом, корпус, кв.	0.010416666666667	0	0	0	0.125	Europe/Moscow			0.33333333333333	0.75			51.62448504	35.48079511
